id,is_new,type,is_answer,is_acceptAnswer,interval_fir_ans(hour),interval_acc_ans(hour),body_len
P832,0,so post,1,1,0.145555556,0.145555556,784
P833,0,so post,1,1,5.869722222,5.869722222,1419
P834,0,so post,1,0,1.432222222,,1984
P835,0,so post,0,0,,,650
P836,0,so post,1,1,6.404722222,6.404722222,1552
P837,0,so post,1,1,2996.588056,2996.588056,753
P838,0,so post,1,1,0.428888889,0.428888889,1158
P839,0,so post,1,1,10.77194444,9048.168056,366
P840,0,so post,1,0,19.22972222,,2020
P841,0,so post,1,1,4.816944444,13223.47139,1415
P842,0,so post,1,0,7.161666667,,2060
P843,0,so post,1,1,117.8733333,117.8733333,521
P844,0,so post,0,0,,,1220
P845,0,so post,1,1,2.386388889,2.386388889,6716
P846,0,so post,1,1,3918.598333,3918.598333,851
P847,0,so post,1,1,0.7775,0.7775,1474
P848,0,so post,0,0,,,792
P849,0,so post,0,0,,,899
P850,0,so post,1,0,12782.57222,,1030
P851,0,so post,1,1,0.553888889,0.553888889,1751
P852,0,so post,1,0,21.12833333,,337
P853,0,so post,1,1,1.169722222,1.169722222,755
P854,0,so post,1,1,176.7419444,176.7419444,415
P855,0,so post,1,1,238.1727778,238.1727778,1925
P856,0,so post,0,0,,,992
P857,0,so post,1,1,21.09083333,21.09083333,1537
P858,0,so post,1,1,336.7066667,336.7066667,879
P859,0,so post,1,1,12.23027778,12.23027778,740
P860,0,so post,0,0,,,1630
P861,0,so post,1,0,1.4175,,697
P862,0,so post,0,0,,,1254
P863,0,so post,1,1,192.8486111,192.8486111,1418
P864,0,so post,1,1,3.281944444,3.281944444,1705
P865,0,so post,1,1,2.660833333,2.660833333,3458
P866,0,so post,1,0,7678.005278,,488
P867,0,so post,0,0,,,1346
P868,0,so post,0,0,,,1228
P869,0,so post,1,1,5.688333333,5.688333333,549
P870,0,so post,1,1,0.477222222,0.477222222,185
P871,0,so post,1,0,11.60666667,,493
P872,0,so post,1,1,2.010555556,2.010555556,479
P873,0,so post,1,1,2.822777778,2.822777778,534
P874,0,so post,1,0,1.732777778,,231
P875,0,so post,0,0,,,454
P876,0,so post,0,0,,,829
P877,0,so post,1,1,122.3319444,122.3319444,396
P878,0,so post,1,0,3562.3425,,3383
P879,0,so post,0,0,,,1076
P880,0,so post,0,0,,,585
P881,0,so post,1,1,1.612777778,1.612777778,1757
P882,0,so post,1,0,0.125555556,,642
P883,0,so post,0,0,,,681
P884,0,so post,1,0,0.732222222,,448
P885,0,so post,1,1,2.575,2.575,606
P886,0,so post,1,1,6.175555556,6.175555556,376
P887,0,so post,1,0,6261.621389,,175
P888,0,so post,1,1,1.029722222,1.029722222,1628
P889,0,so post,1,1,60.21694444,60.21694444,400
P890,0,so post,0,0,,,1600
P891,0,so post,1,1,2.679166667,2.679166667,1684
P892,0,so post,1,1,3.900833333,22.2225,977
P893,0,so post,1,1,1.781388889,1.781388889,1786
P894,0,so post,0,0,,,1247
P895,0,so post,1,1,4.773611111,4.773611111,2476
P896,0,so post,1,0,7.777222222,,784
P897,0,so post,0,0,,,1455
P898,0,so post,1,0,0.306111111,,1254
P899,0,so post,1,0,4.4275,,426
P900,0,so post,1,0,1290.314444,,1171
P901,0,so post,1,1,1.435,1.435,192
P902,0,so post,1,1,0.525,0.525,392
P903,0,so post,0,0,,,1308
P904,0,so post,1,1,24.03722222,24.03722222,5542
P905,0,so post,1,0,0.271944444,,896
P906,0,so post,1,0,2833.760833,,1473
P907,0,so post,1,1,192.5216667,192.5216667,1218
P908,0,so post,1,1,0.044444444,0.044444444,1915
P909,0,so post,0,0,,,530
P910,0,so post,0,0,,,1446
P911,0,so post,1,0,7613.828889,,1155
P912,0,so post,0,0,,,812
P913,0,so post,1,0,4.325833333,,1837
P914,0,so post,1,1,20.14944444,20.14944444,502
P915,0,so post,1,0,2728.223056,,1185
